Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Final_Marks
246,8,86,54,100,68.02
247,1,70,88,98,67.11
248,8,63,56,81,59.45
249,4,51,62,74,57.18
250,1,60,95,89,64.47
251,8,100,74,57,67.18
252,4,88,83,56,65.11
253,6,87,41,63,56.65
254,8,83,35,42,43.17
255,4,87,66,71,66.5
256,3,99,47,74,55.9
257,9,83,64,77,65.22
258,3,67,57,52,51.76
259,9,79,85,95,79.24
260,2,64,93,100,62.9
261,2,76,90,86,69.71
262,2,100,53,64,53.4
263,6,83,66,48,66.75
264,3,87,64,43,49.16
265,9,82,63,53,62.45
266,4,73,83,76,59.44
267,1,64,79,73,66.66
268,4,79,63,50,47.46
269,1,91,64,80,61.82
270,5,100,50,95,61.58
271,4,66,74,42,50.33
272,8,54,53,98,61.27
273,8,78,52,67,64.62
274,7,53,35,68,54.22
275,3,59,48,48,34.82
276,1,66,85,42,52.99
277,1,59,81,64,60.4
278,3,66,84,73,51.62
279,6,69,36,51,47.32
280,7,73,88,81,69.59
281,6,54,62,48,51.27
282,6,83,83,54,60.09
283,6,55,84,79,55.07
284,3,51,64,64,38.93
285,6,62,72,44,58.28
286,8,92,85,50,74.02
287,2,92,38,98,58.01
288,5,97,35,73,52.93
289,1,60,42,63,33.33
290,1,100,63,99,67.77
291,5,96,89,54,62.25
292,3,72,73,77,55.49
293,4,65,37,47,38.82
294,3,80,66,98,62.16
295,1,60,44,44,34.45
296,1,65,44,87,48.27
297,5,57,53,65,46.29
298,6,53,80,57,59.66
299,3,89,68,45,60.56
300,9,53,94,76,68.44
301,5,74,67,99,66.96
302,8,52,57,87,68.09
303,1,81,89,52,52.74
304,5,52,62,67,45.08
305,3,76,66,44,54.82
306,1,78,84,52,66.08
307,4,81,41,56,47.45
308,5,99,63,89,76.33
309,7,100,42,79,62.63
310,1,68,35,84,42.15
311,3,70,91,71,57.8
312,2,54,89,68,59.45
313,9,67,37,90,52.53
314,10,77,58,97,68.96
315,6,91,57,42,63.67
316,10,71,93,95,75.62
317,3,70,95,79,72.12
318,8,55,42,73,44.88
319,8,50,88,79,62.03
320,2,54,91,66,49.46
321,6,90,81,52,65.06
322,7,61,71,84,66.0
323,2,75,37,72,47.13
324,10,95,85,45,76.89
325,2,83,67,63,52.2
326,10,98,62,58,68.33
327,1,63,81,55,49.66
328,8,75,42,79,58.96
329,1,94,68,67,61.07
330,9,76,69,72,68.26
331,6,58,66,98,56.05
332,7,75,58,98,60.05
333,10,96,48,87,64.78
334,7,71,66,80,61.11
335,10,96,90,52,74.34
336,3,79,80,82,67.44
337,2,92,77,84,61.16
338,9,97,50,64,55.29
339,8,66,38,92,67.08
340,10,75,86,81,67.59
341,7,85,71,75,70.48
342,9,50,88,66,63.51
343,4,57,55,77,52.41
344,4,98,48,99,63.69
345,1,84,65,46,49.03
346,8,64,89,44,63.82
347,3,96,82,82,66.56
348,7,71,52,84,64.73
349,2,63,41,97,52.79
350,2,75,44,96,56.65
351,7,77,41,90,55.76
352,6,72,67,70,58.42
353,3,63,57,62,43.06
354,9,73,55,81,60.43
355,10,51,53,49,45.77
356,6,94,82,71,76.37
357,10,75,95,82,76.4
358,10,63,53,92,63.4
359,6,100,70,69,66.17
360,1,56,63,78,50.74
361,4,52,94,70,72.52
362,10,96,52,57,62.0
363,6,72,36,75,48.05
364,6,95,35,41,52.6
365,5,92,81,53,51.52
366,1,96,39,52,47.67
367,8,94,54,68,61.44
368,5,67,45,51,41.74
369,5,87,76,78,68.94
370,7,84,36,41,49.02
371,4,100,37,71,46.29
372,6,64,57,52,47.77
373,4,74,89,85,52.76
374,3,86,46,66,53.72
375,7,77,54,88,63.22
376,8,59,39,80,48.48
377,4,88,71,56,62.2
378,2,66,72,79,49.99
379,10,88,64,70,62.87
380,3,71,43,73,51.09
381,1,75,68,99,56.76
382,8,93,87,63,71.64
383,3,74,78,84,59.63
384,10,66,69,74,62.45
385,7,62,86,87,65.61
386,10,69,92,45,62.82
387,5,74,56,58,54.66
388,10,53,78,69,59.81
389,5,59,58,46,47.68
390,7,52,51,49,43.21
391,9,90,44,80,55.28
392,5,94,64,71,67.71
393,1,67,90,73,62.1
394,10,96,93,67,89.24
395,10,85,80,99,72.33
396,1,96,57,54,52.11
397,2,71,66,69,53.21
398,6,83,51,76,63.7
399,9,96,84,68,71.51
400,8,57,85,61,56.09
401,5,89,51,43,58.44
402,1,98,48,59,50.37
403,7,93,43,71,63.49
404,5,68,74,75,64.26
405,6,91,36,89,58.7
406,7,90,79,43,62.68
407,3,86,59,66,54.19
408,10,55,73,56,59.27
409,3,75,43,51,49.92
410,5,83,88,61,61.62
411,6,94,56,56,59.54
412,9,55,77,49,52.31
413,5,86,80,93,65.38
414,1,82,38,40,41.0
415,4,71,60,61,43.15
416,5,70,92,65,74.65
417,10,55,63,95,58.18
418,10,55,79,98,69.35
419,5,97,68,57,68.14
420,7,53,57,89,52.59
421,4,79,71,53,45.14
422,1,60,45,86,44.73
423,5,79,40,68,47.23
424,7,80,52,51,43.17
425,10,73,55,75,63.67
426,10,58,76,98,70.44
427,6,52,70,74,62.01
428,5,100,75,91,66.35
429,4,80,72,100,58.6
430,2,89,68,51,53.32
431,4,86,51,46,50.56
432,10,85,71,68,73.26
433,10,73,59,50,65.5
434,3,80,72,72,65.82
435,10,55,92,45,64.23
436,1,51,46,86,49.0
437,8,69,57,54,51.95
438,5,77,87,71,66.64
439,4,60,76,90,54.84
440,8,53,56,50,50.36
441,7,64,55,97,61.09
442,2,55,61,62,55.56
443,1,98,91,65,64.91
444,4,79,65,73,59.3
445,8,87,40,85,61.93
446,2,100,61,73,58.13
447,3,51,74,68,48.29
448,1,64,68,43,52.74
449,1,60,46,56,36.35
450,3,57,79,74,49.86
451,5,75,91,52,66.1
452,3,100,87,80,76.64
453,1,94,41,78,50.39
454,1,93,44,54,46.32
455,8,54,79,94,67.41
456,10,55,51,68,51.61
457,2,75,60,68,48.94
458,3,53,55,50,47.9
459,2,68,62,91,59.34
460,3,69,92,71,69.36
461,7,82,80,41,55.19
462,1,69,36,86,43.99
463,10,98,94,53,77.21
464,8,61,88,59,58.82
465,10,96,77,61,75.01
466,10,50,35,50,51.62
467,10,75,85,66,67.03
468,2,63,87,42,52.94
469,3,87,70,56,64.98
470,9,86,85,83,83.85
471,7,60,60,95,64.48
472,4,85,63,67,61.52
473,10,62,55,68,53.83
474,5,92,45,60,56.55
475,2,52,74,86,57.68
476,8,82,45,55,53.95
477,4,55,70,76,51.98
478,9,99,83,98,74.09
479,5,59,93,59,52.01
480,9,54,73,45,45.91
481,4,72,74,58,59.7
482,10,59,69,96,67.89
483,5,93,88,44,62.28
484,9,51,68,42,51.14
485,8,62,89,98,72.85
486,3,89,81,40,57.48
487,1,51,58,97,44.1
488,3,69,88,99,71.77
489,4,50,56,77,51.22
490,2,86,39,54,47.83
491,1,58,90,73,61.54
492,7,66,67,100,61.28
493,8,58,92,74,72.97
494,7,60,70,88,61.65
495,5,64,81,64,63.79
496,1,73,54,63,51.97
497,7,87,53,51,51.41
498,7,84,69,57,64.36
499,9,79,86,54,69.23
500,3,80,77,83,63.6
